player_name,team_abbr,pos,age,G,GS,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PTS
Coby White,CHI,SG,24.0,74.0,73.0,33.1,0.453,0.37,0.902,3.7,4.5,0.9,0.2,2.4,20.4
Miles Bridges,CHO,PF,26.0,64.0,64.0,31.7,0.431,0.313,0.87,7.5,3.9,0.7,0.7,2.1,20.3
Austin Reaves,LAL,SG,26.0,73.0,73.0,34.9,0.46,0.377,0.877,4.5,5.8,1.1,0.3,2.4,20.2
Pascal Siakam,IND,PF,30.0,78.0,78.0,32.7,0.519,0.389,0.734,6.9,3.4,0.9,0.5,1.4,20.2
Kristaps Porzingis,BOS,C,29.0,42.0,42.0,28.8,0.483,0.412,0.809,6.8,2.1,0.7,1.5,1.3,19.5
Scottie Barnes,TOR,PF,23.0,65.0,65.0,32.8,0.446,0.271,0.755,7.7,5.8,1.4,1.0,2.8,19.3
Anfernee Simons,POR,SG,25.0,70.0,70.0,32.7,0.426,0.363,0.902,2.7,4.8,0.9,0.1,2.0,19.3
Desmond Bane,MEM,SG,26.0,69.0,68.0,32.0,0.484,0.392,0.894,6.1,5.3,1.2,0.4,2.4,19.2
Domantas Sabonis,SAC,C,28.0,70.0,70.0,34.7,0.59,0.417,0.754,13.9,6.0,0.7,0.4,2.9,19.1
Alperen Sengun,HOU,C,22.0,76.0,76.0,31.5,0.496,0.233,0.692,10.3,4.9,1.1,0.8,2.6,19.1
John Collins,UTA,PF,27.0,40.0,31.0,30.5,0.527,0.399,0.848,8.2,2.0,1.0,1.0,2.6,19.0
Lauri Markkanen,UTA,PF,27.0,47.0,47.0,31.4,0.423,0.346,0.876,5.9,1.5,0.7,0.4,1.4,19.0
Jalen Johnson,ATL,SF,23.0,36.0,36.0,35.7,0.5,0.312,0.746,10.0,5.0,1.6,1.0,2.9,18.9
Cameron Johnson,BRK,PF,28.0,57.0,57.0,31.6,0.475,0.39,0.893,4.3,3.4,0.9,0.4,1.7,18.8
Julius Randle,MIN,PF,30.0,69.0,69.0,32.3,0.485,0.344,0.806,7.1,4.7,0.7,0.2,2.8,18.7
Tyrese Haliburton,IND,PG,24.0,73.0,73.0,33.6,0.473,0.388,0.851,3.5,9.2,1.4,0.7,1.6,18.6
