player_name,team_abbr,PER,TS%,USG%,WS,WS/48,BPM,VORP
Mason Plumlee,PHO,14.8,0.645,10.8,3.7,0.136,-0.6,0.5
Jonathan Mogbo,TOR,11.9,0.496,15.0,1.9,0.071,-1.9,0.0
Jalen Johnson,ATL,17.3,0.569,22.5,2.4,0.089,1.8,1.2
Max Strus,CLE,12.6,0.607,14.7,3.4,0.13,1.3,1.1
Johnny Juzang,UTA,11.8,0.573,17.6,1.6,0.06,-2.3,-0.1
Ron Holland,DET,11.1,0.556,18.1,1.8,0.067,-3.0,-0.3
Dean Wade,CLE,10.1,0.563,10.4,3.0,0.113,0.3,0.7
Ricky Council IV,PHI,11.6,0.502,20.3,0.6,0.023,-4.3,-0.7
Tidjane Salaun,CHO,7.7,0.457,15.2,0.0,0.002,-5.2,-1.0
Bobby Portis,MIL,17.7,0.542,24.1,2.7,0.106,0.2,0.7
Moussa Diabate,CHO,16.5,0.609,13.4,3.2,0.125,-1.9,0.0
Jeremiah Robinson-Earl,NOP,12.9,0.563,14.4,1.7,0.067,-2.5,-0.2
Simone Fontecchio,DET,9.7,0.544,15.8,1.6,0.063,-2.9,-0.3
Cole Anthony,ORL,14.2,0.531,24.6,2.0,0.078,0.1,0.7
Ben Sheppard,IND,9.2,0.555,11.3,2.1,0.081,-2.0,0.0
Daniel Gafford,DAL,24.7,0.716,19.5,5.9,0.232,3.8,1.8
John Collins,UTA,19.0,0.628,24.2,2.5,0.098,1.0,0.9
Kristaps Porzingis,BOS,22.3,0.618,25.9,5.3,0.212,4.7,2.1
Brandon Clarke,MEM,17.6,0.638,15.3,4.4,0.174,0.8,0.9
Deandre Ayton,POR,17.7,0.583,19.4,2.8,0.113,-0.7,0.4
Jarace Walker,IND,11.9,0.59,17.1,1.6,0.065,-0.9,0.3
Kawhi Leonard,LAC,20.5,0.589,27.7,3.5,0.141,3.1,1.5
Clint Capela,ATL,17.7,0.564,16.7,3.2,0.131,-1.0,0.3
Mark Williams,CHO,23.9,0.647,21.4,4.7,0.195,3.5,1.6
Precious Achiuwa,NYK,13.6,0.53,14.9,2.3,0.095,-1.9,0.0
Nikola Jovic,MIA,13.8,0.595,18.3,2.5,0.104,0.3,0.7
Justin Edwards,PHI,11.3,0.559,16.9,0.9,0.039,-3.7,-0.5
Vit Krejci,ATL,12.7,0.661,12.9,2.6,0.11,0.7,0.8
Jonathan Kuminga,GSW,15.7,0.535,27.4,1.9,0.08,-0.6,0.4
Kevon Looney,GSW,17.0,0.535,13.3,4.3,0.182,0.3,0.7
Kenrich Williams,OKC,13.7,0.587,15.4,3.6,0.151,0.6,0.7
Julian Phillips,CHI,10.2,0.571,12.9,1.9,0.08,-3.0,-0.3
Aaron Nesmith,IND,14.6,0.653,17.4,2.9,0.126,-0.5,0.4
Dalano Banton,POR,12.9,0.497,24.1,0.8,0.033,-0.8,0.3
Ja'Kobe Walter,TOR,10.8,0.523,18.2,1.2,0.052,-3.0,-0.3
Jaxson Hayes,LAL,15.8,0.72,12.4,3.7,0.162,-0.3,0.5
Cameron Payne,NYK,13.8,0.532,20.8,2.3,0.099,-0.2,0.5
Jonathan Isaac,ORL,16.6,0.512,16.2,3.4,0.148,0.7,0.7
DaQuan Jeffries,CHO,7.9,0.518,13.5,0.6,0.027,-4.7,-0.7
Seth Curry,CHO,12.2,0.616,15.7,1.8,0.08,-1.7,0.1
Cody Williams,UTA,3.7,0.419,12.5,-1.2,-0.053,-7.3,-1.4
Isaac Okoro,CLE,10.7,0.587,12.5,2.5,0.115,-0.5,0.4
Oso Ighodaro,PHO,11.1,0.61,10.5,1.6,0.075,-2.6,-0.2
Jamison Battle,TOR,10.7,0.59,15.3,1.7,0.079,-2.3,-0.1
Noah Clowney,BRK,9.2,0.516,19.0,0.5,0.023,-4.1,-0.5
Alex Caruso,OKC,15.9,0.568,15.2,3.9,0.18,4.0,1.6
Kris Murray,POR,9.1,0.472,13.9,0.7,0.033,-3.0,-0.3
Dejounte Murray,NOP,15.4,0.494,27.3,0.2,0.009,-1.6,0.1
Jalen Suggs,ORL,14.4,0.536,27.5,1.1,0.052,0.4,0.6
Brandon Boston Jr.,NOP,12.7,0.535,20.0,0.7,0.033,-2.5,-0.1
Dalen Terry,CHI,9.6,0.546,14.9,1.1,0.052,-3.8,-0.5
Andre Jackson Jr.,MIL,8.6,0.554,11.9,1.2,0.059,-3.4,-0.3
Trayce Jackson-Davis,GSW,18.5,0.587,17.1,3.4,0.167,1.2,0.8
Jalen Smith,CHI,18.7,0.586,21.0,2.9,0.146,0.9,0.7
Jordan Clarkson,UTA,14.5,0.54,27.8,0.4,0.021,-1.5,0.1
Gary Payton II,GSW,16.2,0.635,16.1,3.0,0.155,1.4,0.8
Brandon Miller,CHO,14.0,0.54,27.7,0.4,0.023,0.0,0.4
Immanuel Quickley,TOR,17.5,0.57,25.1,2.5,0.128,2.2,1.0
Trendon Watford,BRK,13.0,0.557,23.3,0.7,0.038,-3.1,-0.3
Day'Ron Sharpe,BRK,19.7,0.568,19.9,2.7,0.141,0.9,0.7
Jaden Hardy,DAL,10.4,0.549,25.3,-0.3,-0.016,-4.7,-0.6
Adem Bona,PHI,16.5,0.714,14.3,2.3,0.121,-2.7,-0.2
Jaden Ivey,DET,14.7,0.569,26.0,1.2,0.062,0.0,0.5
Chet Holmgren,OKC,19.2,0.599,22.0,3.2,0.173,2.4,1.0
Neemias Queta,BOS,16.3,0.674,13.7,3.2,0.179,-0.7,0.3
Alec Burks,MIA,12.8,0.608,16.5,1.8,0.1,0.3,0.5
Chris Boucher,TOR,18.7,0.615,21.2,2.7,0.148,2.3,0.9
Zion Williamson,NOP,27.3,0.6,34.7,2.5,0.141,7.0,1.9
KJ Simpson,CHO,8.3,0.437,19.1,-0.4,-0.025,-5.4,-0.7
Dereck Lively II,DAL,20.1,0.704,13.6,3.4,0.199,3.3,1.1
Garrison Mathews,ATL,11.2,0.606,15.9,1.5,0.087,-1.6,0.1
Cam Whitmore,HOU,15.5,0.549,23.9,1.8,0.106,0.3,0.5
Ryan Rollins,MIL,14.0,0.6,18.4,1.7,0.101,-0.5,0.3
Marcus Sasser,DET,14.0,0.589,19.4,1.8,0.108,-0.6,0.3
Steven Adams,HOU,16.6,0.541,13.6,2.3,0.137,0.3,0.5
Aaron Holiday,HOU,12.2,0.594,16.8,2.0,0.122,-0.2,0.3
Karlo Matkovic,NOP,15.6,0.639,15.9,1.6,0.096,-2.0,0.0
Caleb Houstan,ORL,9.4,0.605,11.7,1.8,0.109,-2.2,0.0
Jaylin Williams,OKC,16.4,0.594,14.6,3.3,0.199,4.3,1.2
Pelle Larsson,MIA,10.2,0.546,14.4,1.4,0.086,-3.1,-0.2
