0,1,2,3
223,"Dean Wade, F",Cleveland Cavaliers,"$6,166,667"
224,"John Konchar, G",Memphis Grizzlies,"$6,165,000"
225,"Ziaire Williams, F",Brooklyn Nets,"$6,133,005"
226,"Dyson Daniels, G",Atlanta Hawks,"$6,059,520"
227,"Precious Achiuwa, PF",New York Knicks,"$6,000,000"
228,"Malik Beasley, SG",Detroit Pistons,"$6,000,000"
229,"Chris Duarte, SG",Chicago Bulls,"$5,893,768"
230,"Taylor Hendricks, F",Utah Jazz,"$5,848,680"
RK,NAME,TEAM,SALARY
231,"Moses Moody, G",Golden State Warriors,"$5,803,269"
232,"Zach Edey, C",Memphis Grizzlies,"$5,756,880"
233,"Corey Kispert, F",Washington Wizards,"$5,705,888"
234,"Jeremy Sochan, F",San Antonio Spurs,"$5,570,040"
235,"Cason Wallace, G",Oklahoma City Thunder,"$5,555,880"
236,"Cody Williams, F",Utah Jazz,"$5,485,080"
237,"Alperen Sengun, C",Houston Rockets,"$5,424,654"
238,"Johnny Davis, G",Washington Wizards,"$5,291,160"
239,"Jett Howard, G",Orlando Magic,"$5,278,320"
240,"Haywood Highsmith, F",Miami Heat,"$5,200,000"
RK,NAME,TEAM,SALARY
241,"Matas Buzelis, F",Chicago Bulls,"$5,195,520"
242,"Kris Dunn, G",LA Clippers,"$5,168,000"
243,"Dario Saric, F",Denver Nuggets,"$5,168,000"
244,"Trey Murphy III, F",New Orleans Pelicans,"$5,159,855"
245,"Ousmane Dieng, F",Oklahoma City Thunder,"$5,027,040"
246,"Dereck Lively II, C",Dallas Mavericks,"$5,014,560"
247,"Nick Richards, C",Phoenix Suns,"$5,000,000"
248,"Andre Drummond, C",Philadelphia 76ers,"$5,000,000"
249,"Drew Eubanks, F",LA Clippers,"$5,000,000"
250,"Nikola Topic, G",Oklahoma City Thunder,"$4,935,960"
RK,NAME,TEAM,SALARY
251,"Tre Mann, G",Charlotte Hornets,"$4,908,189"
252,"Jalen Williams, G",Oklahoma City Thunder,"$4,775,760"
253,"Gradey Dick, G",Toronto Raptors,"$4,763,760"
254,"Jalen McDaniels, F",Washington Wizards,"$4,741,800"
255,"Miles McBride, G",New York Knicks,"$4,710,144"
256,"Devin Carter, G",Sacramento Kings,"$4,702,800"
257,"Nicolas Batum, F",LA Clippers,"$4,668,000"
258,"Aaron Holiday, G",Houston Rockets,"$4,668,000"
259,"Jalen Duren, C",Detroit Pistons,"$4,536,840"
260,"Jordan Hawkins, G",New Orleans Pelicans,"$4,525,680"
RK,NAME,TEAM,SALARY
261,"Jalen Johnson, F",Atlanta Hawks,"$4,510,905"
262,"Bub Carrington, G",Washington Wizards,"$4,454,880"
263,"Isaiah Jackson, F",Indiana Pacers,"$4,435,381"
264,"Nickeil Alexander-Walker, G",Minnesota Timberwolves,"$4,312,500"
