rank,player_name,position,team,team_abbr,salary
189,Josh Okogie,G,Charlotte Hornets,CHO,8250000
190,Ronald Holland II,F,Detroit Pistons,DET,8245320
191,Caleb Martin,F,Dallas Mavericks,DAL,8149001
192,Cody Martin,SF,Phoenix Suns,PHO,8120000
193,Trey Lyles,PF,Sacramento Kings,SAC,8000000
194,Jock Landale,C,Houston Rockets,HOU,8000000
195,Jeff Green,F,Houston Rockets,HOU,8000000
196,Kevon Looney,F,Golden State Warriors,GSW,8000000
197,Kelly Oubre Jr.,G,Philadelphia 76ers,PHI,7983000
198,Jaden Ivey,G,Detroit Pistons,DET,7977240
199,KJ Martin,F,Utah Jazz,UTA,7975000
200,Vasilije Micic,G,Phoenix Suns,PHO,7723000
201,Simone Fontecchio,F,Detroit Pistons,DET,7692308
202,Jonathan Kuminga,F,Golden State Warriors,GSW,7636154
203,Anthony Black,G,Orlando Magic,ORL,7607760
204,Jae'Sean Tate,F,Houston Rockets,HOU,7565217
205,Tidjane Salaun,F,Charlotte Hornets,CHO,7488720
206,Bennedict Mathurin,G,Indiana Pacers,IND,7245720
207,Max Christie,G,Dallas Mavericks,DAL,7142857
208,Franz Wagner,F,Orlando Magic,ORL,7007092
209,Ayo Dosunmu,G,Chicago Bulls,CHI,7000000
210,Bilal Coulibaly,G,Washington Wizards,WAS,6945240
211,Nassir Little,SF,Miami Heat,MIA,6750000
212,Gary Harris,G,Orlando Magic,ORL,6730769
213,Payton Pritchard,G,Boston Celtics,BOS,6696429
214,Kenrich Williams,G,Oklahoma City Thunder,OKC,6669000
215,Sasha Vezenkov,F,Toronto Raptors,TOR,6658536
216,Shaedon Sharpe,G,Portland Trail Blazers,POR,6614160
217,Donovan Clingan,C,Portland Trail Blazers,POR,6586440
218,Jevon Carter,G,Chicago Bulls,CHI,6500000
219,Davion Mitchell,G,Miami Heat,MIA,6451230
220,Saddiq Bey,G,New Orleans Pelicans,NOP,6440678
221,Jarace Walker,F,Indiana Pacers,IND,6362520
222,Rob Dillingham,G,Minnesota Timberwolves,MIN,6262920
223,Dean Wade,F,Cleveland Cavaliers,CLE,6166667
224,John Konchar,G,Memphis Grizzlies,MEM,6165000
225,Ziaire Williams,F,Brooklyn Nets,BRK,6133005
226,Dyson Daniels,G,Atlanta Hawks,ATL,6059520
227,Precious Achiuwa,PF,New York Knicks,NYK,6000000
228,Malik Beasley,SG,Detroit Pistons,DET,6000000
229,Chris Duarte,SG,Chicago Bulls,CHI,5893768
230,Taylor Hendricks,F,Utah Jazz,UTA,5848680
231,Moses Moody,G,Golden State Warriors,GSW,5803269
232,Zach Edey,C,Memphis Grizzlies,MEM,5756880
233,Corey Kispert,F,Washington Wizards,WAS,5705888
234,Jeremy Sochan,F,San Antonio Spurs,SAS,5570040
235,Cason Wallace,G,Oklahoma City Thunder,OKC,5555880
236,Cody Williams,F,Utah Jazz,UTA,5485080
237,Alperen Sengun,C,Houston Rockets,HOU,5424654
238,Johnny Davis,G,Washington Wizards,WAS,5291160
239,Jett Howard,G,Orlando Magic,ORL,5278320
240,Haywood Highsmith,F,Miami Heat,MIA,5200000
241,Matas Buzelis,F,Chicago Bulls,CHI,5195520
242,Kris Dunn,G,LA Clippers,LAC,5168000
243,Dario Saric,F,Denver Nuggets,DEN,5168000
244,Trey Murphy III,F,New Orleans Pelicans,NOP,5159855
245,Ousmane Dieng,F,Oklahoma City Thunder,OKC,5027040
246,Dereck Lively II,C,Dallas Mavericks,DAL,5014560
247,Nick Richards,C,Phoenix Suns,PHO,5000000
248,Andre Drummond,C,Philadelphia 76ers,PHI,5000000
249,Drew Eubanks,F,LA Clippers,LAC,5000000
250,Nikola Topic,G,Oklahoma City Thunder,OKC,4935960
251,Tre Mann,G,Charlotte Hornets,CHO,4908189
252,Jalen Williams,G,Oklahoma City Thunder,OKC,4775760
253,Gradey Dick,G,Toronto Raptors,TOR,4763760
254,Jalen McDaniels,F,Washington Wizards,WAS,4741800
255,Miles McBride,G,New York Knicks,NYK,4710144
256,Devin Carter,G,Sacramento Kings,SAC,4702800
257,Nicolas Batum,F,LA Clippers,LAC,4668000
258,Aaron Holiday,G,Houston Rockets,HOU,4668000
259,Jalen Duren,C,Detroit Pistons,DET,4536840
260,Jordan Hawkins,G,New Orleans Pelicans,NOP,4525680
261,Jalen Johnson,F,Atlanta Hawks,ATL,4510905
262,Bub Carrington,G,Washington Wizards,WAS,4454880
263,Isaiah Jackson,F,Indiana Pacers,IND,4435381
264,Nickeil Alexander-Walker,G,Minnesota Timberwolves,MIN,4312500
265,Ochai Agbaji,G,Toronto Raptors,TOR,4310280
266,Kobe Bufkin,G,Atlanta Hawks,ATL,4299000
267,Quentin Grimes,G,Philadelphia 76ers,PHI,4296615
268,Kel'el Ware,C,Miami Heat,MIA,4231800
269,Bones Hyland,G,Minnesota Timberwolves,MIN,4158439
270,Mark Williams,C,Charlotte Hornets,CHO,4094280
271,Keyonte George,G,Utah Jazz,UTA,4084200
272,Cam Thomas,G,Brooklyn Nets,BRK,4041249
273,Jared McCain,G,Philadelphia 76ers,PHI,4032240
274,Dwight Powell,F,Dallas Mavericks,DAL,4000000
275,Day'Ron Sharpe,C,Brooklyn Nets,BRK,3989122
276,Santi Aldama,F,Memphis Grizzlies,MEM,3960531
277,Amir Coffey,G,LA Clippers,LAC,3938271
278,AJ Griffin,F,Houston Rockets,HOU,3889920
279,Jalen Hood-Schifino,G,Philadelphia 76ers,PHI,3879840
280,Kevin Love,F,Miami Heat,MIA,3850000
281,Dalton Knecht,F,Los Angeles Lakers,LAL,3819120
282,Tari Eason,F,Houston Rockets,HOU,3695160
283,Jaime Jaquez Jr.,F,Miami Heat,MIA,3685800
284,Tristan da Silva,F,Orlando Magic,ORL,3628440
285,Ja'Kobe Walter,G,Toronto Raptors,TOR,3565000
286,Brandin Podziemski,G,Golden State Warriors,GSW,3519960
287,Dalen Terry,F,Chicago Bulls,CHI,3510480
288,Svi Mykhailiuk,G,Utah Jazz,UTA,3500000
289,Cody Zeller,C,Houston Rockets,HOU,3500000
290,Cam Whitmore,F,Houston Rockets,HOU,3379080
291,Derrick Rose,PG,Memphis Grizzlies,MEM,3356271
292,Jake LaRavia,F,Sacramento Kings,SAC,3352680
293,Jaylon Tyson,G,Cleveland Cavaliers,CLE,3326160
294,Eric Gordon,G,Philadelphia 76ers,PHI,3303771
295,Cory Joseph,PG,Orlando Magic,ORL,3303771
296,Russell Westbrook,G,Denver Nuggets,DEN,3303771
297,Noah Clowney,F,Brooklyn Nets,BRK,3244080
298,Malaki Branham,G,San Antonio Spurs,SAS,3217920
299,Yves Missi,C,New Orleans Pelicans,NOP,3202560
300,Dante Exum,G,Dallas Mavericks,DAL,3150000
301,Dariq Whitehead,F,Brooklyn Nets,BRK,3114240
302,Christian Braun,G,Denver Nuggets,DEN,3089640
303,Johnny Juzang,G,Utah Jazz,UTA,3087519
304,DaRon Holmes II,F,Denver Nuggets,DEN,3065640
305,Josh Richardson,SG,Miami Heat,MIA,3051153
306,Christian Wood,F,Los Angeles Lakers,LAL,3036040
307,Kyle Filipowski,F,Utah Jazz,UTA,3000000
308,Ajay Mitchell,G,Oklahoma City Thunder,OKC,3000000
309,Julian Champagnie,F,San Antonio Spurs,SAS,3000000
310,Kris Murray,F,Portland Trail Blazers,POR,2990040
311,Walker Kessler,C,Utah Jazz,UTA,2965920
312,Shake Milton,SG,Los Angeles Lakers,LAL,2875000
313,Olivier-Maxence Prosper,F,Dallas Mavericks,DAL,2869920
314,David Roddy,F,Houston Rockets,HOU,2847240
315,Torrey Craig,SF,Boston Celtics,BOS,2845342
316,Kyshawn George,F,Washington Wizards,WAS,2825520
317,AJ Johnson,G,Washington Wizards,WAS,2795294
318,Marcus Sasser,G,Detroit Pistons,DET,2755080
319,MarJon Beauchamp,F,New York Knicks,NYK,2733720
320,Trendon Watford,F,Brooklyn Nets,BRK,2726603
321,Ben Sheppard,G,Indiana Pacers,IND,2663880
322,Omer Yurtseven,C,Golden State Warriors,GSW,2660000
323,Keita Bates-Diop,SF,Minnesota Timberwolves,MIN,2654644
324,Blake Wesley,G,San Antonio Spurs,SAS,2624280
325,Dillon Jones,F,Oklahoma City Thunder,OKC,2622360
326,Nick Smith Jr.,G,Charlotte Hornets,CHO,2587200
327,Brice Sensabaugh,F,Utah Jazz,UTA,2571480
328,Ty Jerome,G,Cleveland Cavaliers,CLE,2560975
329,Julian Strawther,G,Denver Nuggets,DEN,2552520
330,Terrence Shannon Jr.,G,Minnesota Timberwolves,MIN,2546640
331,Ryan Dunn,F,Phoenix Suns,PHO,2538240
332,Wendell Moore Jr.,F,Charlotte Hornets,CHO,2537040
333,Kobe Brown,G,LA Clippers,LAC,2533920
334,Isaiah Collier,G,Utah Jazz,UTA,2520120
335,Baylor Scheierman,G,Boston Celtics,BOS,2494320
336,Nikola Jovic,F,Miami Heat,MIA,2464200
337,Darius Bazley,F,Utah Jazz,UTA,2463946
338,Jaxson Hayes,C,Los Angeles Lakers,LAL,2463946
